City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,San Cristobal,VE,7.7669,-72.225,77.18,58,78,2.37,broken clouds
105,Kaeo,NZ,-35.1,173.7833,71.33,71,99,18.19,overcast clouds
106,Najran,SA,17.4924,44.1277,65.05,37,0,2.73,clear sky
107,Saint-Joseph,RE,-21.3667,55.6167,73.78,85,19,8.25,few clouds
108,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,100,5.75,overcast clouds
109,Ust-Nera,RU,64.5667,143.2,-9.02,98,100,3.74,overcast clouds
110,San Jose,US,37.3394,-121.895,78.57,40,75,10.36,broken clouds
111,Tateyama,JP,34.9833,139.8667,48.09,83,87,7.4,overcast clouds
112,Mangrol,IN,21.1167,70.1167,72.73,51,0,11.79,clear sky
113,Bristol,US,41.8334,-71.1662,42.71,47,0,10.36,clear sky
114,Okhotsk,RU,59.3833,143.3,4.37,72,100,15.03,overcast clouds
115,Quesnel,CA,52.9999,-122.5029,50.5,43,0,4.61,clear sky
116,Pacific Grove,US,36.6177,-121.9166,80.58,60,0,11.5,clear sky
117,Cairns,AU,-16.9167,145.7667,85.1,80,25,3.44,scattered clouds
118,Kodiak,US,57.79,-152.4072,35.11,93,100,24.16,moderate rain
119,Vaini,TO,-21.2,-175.2,77.16,94,75,0.0,broken clouds
120,Sitka,US,57.0531,-135.33,42.69,75,100,13.8,overcast clouds
121,Brae,GB,60.3964,-1.353,42.71,77,13,23.0,few clouds
122,Dingle,PH,10.9995,122.6711,77.29,89,69,8.23,broken clouds
123,Katsuura,JP,35.1333,140.3,48.18,80,95,8.61,overcast clouds
124,Bida,NG,9.0833,6.0167,87.33,20,60,3.38,broken clouds
125,Orocue,CO,4.7912,-71.3354,82.35,61,98,5.86,overcast clouds
126,Hampton,US,37.0299,-76.3452,60.85,60,20,10.36,few clouds
127,Buin,CL,-33.7333,-70.75,89.92,38,0,7.25,clear sky
128,Laguna,US,38.421,-121.4238,76.64,39,0,8.05,clear sky
129,Salalah,OM,17.0151,54.0924,75.29,64,0,3.44,clear sky
130,Tomatlan,MX,19.9333,-105.25,85.46,42,0,9.42,clear sky
131,Vavuniya,LK,8.7514,80.4971,74.53,76,99,4.94,overcast clouds
132,Jabinyanah,TN,35.035,10.9081,53.4,70,19,11.41,few clouds
133,Mandalgovi,MN,45.7625,106.2708,18.41,37,16,8.77,few clouds
134,Nelson Bay,AU,-32.7167,152.15,71.96,95,100,1.01,moderate rain
135,Kavaratti,IN,10.5669,72.642,82.27,63,85,8.21,overcast clouds
136,Sabzevar,IR,36.2126,57.6819,53.65,44,67,3.47,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,67.71,72,36,1.99,scattered clouds
138,Esperance,AU,-33.8667,121.9,60.64,60,75,17.54,light rain
139,Necochea,AR,-38.5473,-58.7368,64.04,55,1,10.07,clear sky
140,Oktyabrskoye,RU,43.0645,44.7417,37.54,93,59,8.95,broken clouds
141,Atambua,ID,-9.1061,124.8925,76.46,82,18,1.19,few clouds
142,Tuatapere,NZ,-46.1333,167.6833,66.67,47,80,1.79,broken clouds
143,Cam Ranh,VN,11.9214,109.1591,73.36,88,40,8.05,scattered clouds
144,Tasiilaq,GL,65.6145,-37.6368,32.16,74,100,28.21,overcast clouds
145,Avera,US,33.194,-82.5271,78.71,32,0,7.11,clear sky
146,Rio Grande,BR,-32.035,-52.0986,77.95,79,0,7.99,clear sky
147,Mizdah,LY,31.4451,12.9801,43.48,66,0,3.2,clear sky
148,Kaitangata,NZ,-46.2817,169.8464,60.93,60,86,1.63,overcast clouds
149,Mnogovershinnyy,RU,53.9353,139.9242,-3.32,95,56,3.96,broken clouds
150,West Bay,KY,19.3667,-81.4167,81.07,73,20,9.22,few clouds
151,Mackay,AU,-21.15,149.2,88.68,84,40,18.41,scattered clouds
152,Lengshuijiang,CN,27.6881,111.4294,55.92,79,80,0.94,broken clouds
153,Khandyga,RU,62.6667,135.6,-31.65,100,97,1.63,overcast clouds
154,Tabou,CI,4.423,-7.3528,79.48,85,91,6.73,overcast clouds
155,Tiksi,RU,71.6872,128.8694,-24.5,100,76,1.32,broken clouds
156,Caravelas,BR,-17.7125,-39.2481,77.45,82,100,6.24,overcast clouds
157,Provideniya,RU,64.3833,-173.3,23.11,80,40,15.66,scattered clouds
158,Victoria,HK,22.2855,114.1577,66.96,84,85,18.01,overcast clouds
159,Beringovskiy,RU,63.05,179.3167,16.95,94,100,12.64,light snow
160,Half Moon Bay,US,37.4636,-122.4286,76.59,61,100,8.46,overcast clouds
161,Svetlyy,RU,54.675,20.1347,34.97,91,9,5.55,clear sky
162,Palmer,US,42.1584,-72.3287,42.15,50,20,6.91,few clouds
163,Shushtar,IR,32.0455,48.8567,65.19,37,94,1.19,overcast clouds
164,Cherskiy,RU,68.75,161.3,-14.42,97,84,1.01,broken clouds
165,Goderich,CA,43.7501,-81.7165,36.91,74,100,3.44,overcast clouds
