City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Lagoa,PT,57.42,overcast clouds,39.05,-27.9833,Casa Das Faias
446,Surgana,IN,69.6,clear sky,20.5667,73.6167,Taj Hotel
448,San Quintin,MX,69.67,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
449,Sayyan,YE,54.39,clear sky,15.1718,44.3244,ملاطف ابوحورية
450,Treinta Y Tres,UY,70.93,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
453,Qeshm,IR,64.29,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
455,Senanga,ZM,66.15,moderate rain,-16.1167,23.2667,Zango lodge
459,Mao,ES,54.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
462,Tuy Hoa,VN,70.38,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
463,Chiang Khong,TH,68.32,scattered clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
464,Sao Miguel Do Araguaia,BR,73.62,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
467,Baghdad,IQ,67.91,clear sky,33.3406,44.4009,Baghdad Hotel
471,Port Elizabeth,ZA,65.1,clear sky,-33.918,25.5701,39 On Nile Guest House
472,Lodja,CD,66.94,overcast clouds,-3.4833,23.4333,
473,Mayo,US,62.87,clear sky,38.8876,-76.5119,Resorts Resource Group International
474,Tura,IN,61.65,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
478,Mwene-Ditu,CD,62.91,broken clouds,-7.0,23.45,Hôtel Kamas
479,Namibe,AO,73.98,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
481,Sao Felix Do Xingu,BR,73.49,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
482,Punta Alta,AR,67.8,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
489,Maxixe,MZ,70.84,clear sky,-23.8597,35.3472,Oceano
491,Imaculada,BR,72.01,overcast clouds,-7.3897,-37.5092,kasa de karolll
495,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
497,Lata,PT,55.81,overcast clouds,40.1629,-8.3327,Casa Maquia
500,Mahbubnagar,IN,70.32,scattered clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
506,Kundiawa,PG,66.92,overcast clouds,-6.0167,144.9667,Pari
507,Te Anau,NZ,66.24,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
514,Rabat,MA,59.16,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
518,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
530,Hokitika,NZ,64.83,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
532,Villa Union,MX,74.91,overcast clouds,23.2,-106.2333,My Fantasy Auto-Hotel
537,Guerrero Negro,MX,70.81,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
543,Riyadh,SA,69.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
544,Cabra,ES,53.65,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
547,Grants Pass,US,66.43,overcast clouds,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
550,Muros,ES,55.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
553,Ponta Delgada,PT,58.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
554,Miri,MY,73.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
555,Arcata,US,61.2,overcast clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
561,Jiwani,PK,72.28,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
562,Liuzhou,CN,62.8,broken clouds,24.3126,109.3892,Linjiang Inn
563,Freeport,US,53.56,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
568,Port Lincoln,AU,72.88,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
570,Turayf,SA,62.85,clear sky,31.6725,38.6637,Turaif
574,Falakata,IN,64.36,clear sky,26.5208,89.2055,Hotel Nandanik Palace
575,Tiznit,MA,57.02,clear sky,29.5833,-9.5,
576,Bandarbeyla,SO,74.46,few clouds,9.4942,50.8122,JABIR HOTEL
577,Mayfield Heights,US,52.29,overcast clouds,41.5192,-81.4579,Hilton Garden Inn Cleveland East/Mayfield Village
583,Akyab,MM,67.26,clear sky,20.15,92.9,Hotel Memory
594,Carauari,BR,74.66,light rain,-4.8828,-66.8958,Hotel Fellip
601,Manjacaze,MZ,66.61,clear sky,-24.7117,33.8828,Hotel Gani
